ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,Status,StartDate,EndDate,Finished,study_number,Critical instructions! Evaluate the economy under 17 hypothetical presidents who are serving in thei...,epc_1949,epc_1953,epc_1957,epc_1961,epc_1965,epc_1969,epc_1973,epc_1977,epc_1981,epc_1985,epc_1989,epc_1993,epc_1997,epc_2001,epc_2005,epc_2009,epc_2013,econ_weight_future-Year 1,econ_weight_future-Year 2,econ_weight_future-Year 3,econ_weight_future-Year 4,attention_2-pink,attention_2-red,attention_2-green,attention_2-white,attention_2-yellow,attention_2-blue,"As you may have heard, Mitt Romney recently chose Paul Ryan as his running mate for the 2012 preside...",Do you think Romney chose the correct running mate?,How likely are you to vote / for the Romney/Ryan ticket in November?,"As you may have heard, Mitt Romney recently chose Paul Ryan (shown below) as his running mate for th...",Do you think Romney chose the correct running mate?,How likely are you to vote / for the Romney/Ryan ticket in November?,"As you may have heard, Chris Christie was recently chosen as / the keynote speaker for the Republican...",Do you think Romney chose the correct running mate?,How likely would you have / been to vote for a Romney/Christie ticket in November?,"As you may have heard, Chris Christie (shown below) was recently chosen as the keynote speaker for t...",Do you think Romney chose the correct running mate?,How likely would you have / been to vote for a Romney/Christie ticket in November?,Thanks again! Any comments? (optional)
R_1Hvzln7c881F4hf,Default Response Set,Anonymous,,,0,8/16/2012 15:47,8/16/2012 15:50,1,1217,1,4,2,4,4,2,4,4,3,4,3,4,3,3,3,3,3,3,25,35,30,10,,,1,,1,,1,3,1,,,,,,,,,,none thank you
R_38etSZ2QcG7izbL,Default Response Set,Anonymous,,,0,8/16/2012 15:49,8/16/2012 15:52,1,1217,1,1,3,3,3,2,3,2,3,2,1,3,3,2,3,3,3,2,15,35,25,25,,,1,,1,,1,3,1,,,,,,,,,,
R_3dYirZaqbnxXScJ,Default Response Set,Anonymous,,,0,8/16/2012 15:48,8/16/2012 15:54,1,1217,1,1,3,3,2,2,4,2,3,2,1,4,3,3,3,3,3,2,20,20,30,30,,,1,,1,,1,1,6,,,,,,,,,,
R_86xkhuCJRlEPf37,Default Response Set,Anonymous,,,0,8/16/2012 15:50,8/16/2012 15:54,1,1217,1,4,1,4,4,3,4,4,4,4,3,4,4,3,3,4,3,3,5,10,30,55,,,1,,1,,,,,1,3,1,,,,,,,Thanks
R_a3IqRqEVR6qf5Ah,Default Response Set,Anonymous,,,0,8/16/2012 15:51,8/16/2012 15:56,1,1217,1,3,1,1,3,2,3,3,4,3,2,4,3,2,2,3,3,2,25,30,20,25,,,1,,1,,,,,,,,1,2,1,,,,Interesting survey!  Thanks for the opportunity!
R_exoWEIBOGspajad,Default Response Set,Anonymous,,,0,8/16/2012 15:53,8/16/2012 15:56,1,1217,1,1,2,2,3,2,3,2,4,2,1,4,3,2,3,3,3,1,10,50,15,25,,,1,,1,,,,,1,3,5,,,,,,,
R_aW9U6ITUZdH2mH3,Default Response Set,Anonymous,,,0,8/16/2012 15:52,8/16/2012 15:56,1,1217,1,4,2,2,2,1,3,3,3,3,2,2,2,1,3,3,2,2,25,25,25,25,1,,,,,,,,,1,2,1,,,,,,,
R_1Ghtq2RtoeyENHT,Default Response Set,Anonymous,,,0,8/16/2012 15:53,8/16/2012 15:57,1,1217,1,1,2,1,3,1,3,4,4,2,1,4,3,1,4,2,3,1,25,25,25,25,,,1,,1,,1,2,1,,,,,,,,,,
R_ehuk6fVNe9FZtVX,Default Response Set,Anonymous,,,0,8/16/2012 15:55,8/16/2012 15:57,1,1217,1,4,1,4,4,3,4,4,4,3,3,4,3,2,4,4,3,3,26,26,26,22,,,1,,1,,1,3,4,,,,,,,,,,
R_aXjLycK8k3SRUnX,Default Response Set,Anonymous,,,0,8/16/2012 15:55,8/16/2012 15:58,1,1217,1,4,2,4,4,3,4,4,4,3,3,4,3,3,3,4,3,2,10,20,30,40,,,1,,1,,,,,1,3,1,,,,,,,
R_6JAyZJjyPAw59nT,Default Response Set,Anonymous,,,0,8/16/2012 15:54,8/16/2012 15:58,1,1217,1,4,1,3,3,3,4,4,4,3,3,3,3,3,3,4,3,3,10,20,30,40,,,1,,1,,1,3,1,,,,,,,,,,
R_71VYfVC2AIgELoV,Default Response Set,Anonymous,,,0,8/16/2012 15:54,8/16/2012 15:58,1,1217,1,3,2,2,3,2,3,4,3,2,2,3,3,2,2,3,2,2,10,40,40,10,,,1,,1,,,,,,,,1,3,1,,,,
R_bq1LZPGt6o3Phd3,Default Response Set,Anonymous,,,0,8/16/2012 15:54,8/16/2012 15:58,1,1217,1,3,2,3,3,2,3,3,3,3,2,4,3,2,2,3,3,2,20,25,25,30,,,1,,1,,,,,,,,1,2,3,,,,
R_eeZbKaVnXfb7WKx,Default Response Set,Anonymous,,,0,8/16/2012 15:55,8/16/2012 15:59,1,1217,1,4,1,3,3,1,3,3,3,2,2,3,3,2,2,3,3,2,30,30,20,20,,,1,,1,,,,,1,1,7,,,,,,,NOPE
R_2hO01Ic5pnF0QnP,Default Response Set,Anonymous,,,0,8/16/2012 15:50,8/16/2012 16:01,1,1217,1,1,1,2,3,2,4,3,4,2,2,4,3,2,4,3,3,2,10,20,30,40,,,1,,1,,,,,,,,1,3,1,,,,
R_5aIUIxmPQeT6vmR,Default Response Set,Anonymous,,,0,8/16/2012 15:57,8/16/2012 16:01,1,1217,1,3,2,3,4,2,4,4,4,3,3,4,3,3,3,4,4,4,28,22,15,35,,,1,,1,1,1,3,1,,,,,,,,,,
R_80MadZC9dWlaLEp,Default Response Set,Anonymous,,,0,8/16/2012 15:57,8/16/2012 16:01,1,1217,1,2,2,2,3,2,4,3,4,3,3,3,2,2,3,3,3,2,30,20,20,30,,,1,,1,,,,,,,,1,2,1,,,,
R_e2jawfZDSXIsnlj,Default Response Set,Anonymous,,,0,8/16/2012 15:59,8/16/2012 16:01,1,1217,1,1,1,3,1,2,3,3,3,2,2,3,3,2,2,3,2,2,20,20,25,35,,,1,,1,,,,,1,2,2,,,,,,,none
R_08nE1ODVveoPGF7,Default Response Set,Anonymous,,,0,8/16/2012 15:56,8/16/2012 16:01,1,1217,1,1,3,2,3,2,4,2,3,3,1,4,3,2,3,3,3,1,10,15,25,50,,,1,,1,,,,,,,,1,2,2,,,,
R_5i4MyQFRCAJ6ieV,Default Response Set,Anonymous,,,0,8/16/2012 15:58,8/16/2012 16:02,1,1217,1,1,1,1,2,1,4,2,4,2,1,3,3,2,3,3,3,1,20,25,30,25,,,1,,1,,,,,,,,1,3,2,,,,
R_574FROJ291YKstv,Default Response Set,Anonymous,,,0,8/16/2012 15:54,8/16/2012 16:02,1,1217,1,4,2,4,4,3,4,4,4,3,3,4,4,3,4,4,4,3,20,10,50,20,,,1,,1,,,,,,,,,,,1,3,1,
R_bKti8jC3SxttvjD,Default Response Set,Anonymous,,,0,8/16/2012 16:01,8/16/2012 16:03,1,1217,1,1,1,2,3,1,4,3,2,1,1,4,3,2,2,2,2,1,20,20,20,40,,,1,,1,,1,3,2,,,,,,,,,,interseting
R_baaj3UGQMtKUDZz,Default Response Set,Anonymous,,,0,8/16/2012 15:59,8/16/2012 16:03,1,1217,1,4,1,3,3,1,4,4,4,2,3,4,4,2,2,4,2,1,70,20,5,5,,,1,,1,,,,,1,2,1,,,,,,,
R_b9RbXAeT3loXbLL,Default Response Set,Anonymous,,,0,8/16/2012 15:57,8/16/2012 16:03,1,1217,1,4,2,3,3,2,4,4,4,3,1,4,3,2,4,3,4,2,10,20,30,40,,,1,,1,,,,,,,,,,,1,2,1,
R_7NVthsxPGENCt6Z,Default Response Set,Anonymous,,,0,8/16/2012 16:01,8/16/2012 16:04,1,1217,1,1,2,1,3,2,3,2,3,2,1,4,3,2,3,2,3,1,25,25,25,25,,,1,,1,,,,,1,1,5,,,,,,,
R_bedwRoVxFOxAju5,Default Response Set,Anonymous,,,0,8/16/2012 16:02,8/16/2012 16:04,1,1217,1,1,3,3,2,2,4,2,4,1,1,4,3,3,4,3,3,1,0,25,25,50,,,1,,1,,,,,1,3,2,,,,,,,
R_5pBArmwTrTjJNcN,Default Response Set,Anonymous,,,0,8/16/2012 16:00,8/16/2012 16:05,1,1217,1,4,2,2,3,2,3,3,3,2,3,3,2,2,2,4,2,2,22,26,23,29,,,1,,1,,1,3,1,,,,,,,,,,
R_bvFj6kXNIEr5tmR,Default Response Set,Anonymous,,,0,8/16/2012 16:02,8/16/2012 16:05,1,1217,1,2,2,3,3,2,4,4,4,3,3,4,3,3,3,4,4,2,10,20,30,40,,,1,,1,,,,,,,,,,,1,2,2,Nice quick survey!
R_ah0RrT7sPczQSyx,Default Response Set,Anonymous,,,0,8/16/2012 16:03,8/16/2012 16:06,1,1217,1,4,1,3,4,3,4,4,4,3,2,4,3,2,2,3,3,2,25,25,25,25,,,1,,1,,,,,,,,1,2,1,,,,
R_4UxgYFV28DaBXXT,Default Response Set,Anonymous,,,0,8/16/2012 15:59,8/16/2012 16:06,1,1217,1,4,1,3,3,3,4,4,3,3,3,4,3,3,3,3,3,3,50,25,15,10,,,,,1,,,,,,,,,,,1,3,1,
R_eeUMNIxtxttMaPj,Default Response Set,Anonymous,,,0,8/16/2012 16:03,8/16/2012 16:07,1,1217,1,1,4,3,2,2,4,2,4,2,1,4,4,3,4,3,3,2,10,10,20,60,,,1,,1,,1,1,1,,,,,,,,,,n.a
R_4TuDJ3UrJwCiltr,Default Response Set,Anonymous,,,0,8/16/2012 16:02,8/16/2012 16:07,1,1217,1,3,2,3,3,2,4,4,4,3,3,4,4,3,4,4,3,2,15,20,30,35,,,1,,1,,,,,,,,,,,1,3,2,Love the photo you chose to show of Chris Christie!
R_2hM858xd83Zu7wF,Default Response Set,Anonymous,,,0,8/16/2012 16:03,8/16/2012 16:07,1,1217,1,4,2,4,3,3,4,4,4,3,3,4,3,3,3,4,3,3,25,25,25,25,,,1,,1,,,,,,,,1,3,5,,,,
R_ewEkmLGZC9aoW5D,Default Response Set,Anonymous,,,0,8/16/2012 16:00,8/16/2012 16:07,1,1217,1,2,2,2,3,3,4,2,3,3,3,4,3,3,3,3,2,2,10,20,25,45,,,1,,1,,,,,1,3,4,,,,,,,
