ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,Status,StartDate,EndDate,Finished,study_number,Critical instructions! Evaluate the economy under 25 hypothetical presidents who are serving in thei...,epc_1949,epc_1953,epc_1957,epc_1961,epc_1965,epc_1969,epc_1973,epc_1977,epc_1981,epc_1985,epc_1989,epc_1993,epc_1997,epc_2001,epc_2005,epc_2009,epc_2013,epc_2017,epc_2021,epc_2025,epc_2029,epc_2033,epc_2037,epc_2041,epc_2045,econ_weight_future-Year 1,econ_weight_future-Year 2,econ_weight_future-Year 3,econ_weight_future-Year 4,attention_2-pink,attention_2-red,attention_2-green,attention_2-white,attention_2-yellow,attention_2-blue,"As you may have heard, Mitt Romney recently chose Paul Ryan as his running mate for the 2012 preside...",How likely are you to votefor the Romney/Ryan ticket in ...,"As you may have heard, Mitt Romney recently chose Paul Ryan (shown below) as his running mate for th...",How likely are you to vote / for the Romney/Ryan ticket in November?,"As you may have heard, Chris Christie was recently chosen as / the keynote speaker for the Republican...",How likely would you have / been to vote for a Romney/Christie ticket in November?,"As you may have heard, Chris Christie (shown below) was recently chosen as the keynote speaker for t...",How likely would you have / been to vote for a Romney/Christie ticket in November?,Thanks again! Any comments? (optional)
R_9yItx8SqhG16wQd,Default Response Set,Anonymous,,,0,8/20/2012 16:23,8/20/2012 16:28,1,1218,1,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,15,25,45,15,,,1,,1,,,,1,1,,,,,
R_d6xLHlrQrsbhWbb,Default Response Set,Anonymous,,,0,8/20/2012 16:36,8/20/2012 16:43,1,1218,1,3,3,3,3,3,2,4,4,4,2,3,2,2,1,2,3,1,4,4,3,4,3,4,4,4,15,40,30,15,,,1,,1,,1,1,,,,,,,
R_cBEEvHmr25fxc6p,Default Response Set,Anonymous,,,0,8/20/2012 16:58,8/20/2012 17:04,1,1218,1,3,3,1,3,3,3,3,2,3,2,3,1,2,2,2,3,2,3,2,2,4,2,4,3,1,10,25,30,35,,,1,,1,,1,7,,,,,,,no
R_0xlC6tkO4sAc3DD,Default Response Set,Anonymous,,,0,8/20/2012 17:02,8/20/2012 17:08,1,1218,1,3,4,3,4,3,3,4,4,4,3,3,3,4,3,3,4,3,4,4,3,4,4,4,4,3,30,15,25,30,,,1,,1,,,,1,2,,,,,
R_bpGQAePuwKDVA2h,Default Response Set,Anonymous,,,0,8/20/2012 17:41,8/20/2012 17:44,1,1218,1,2,3,2,2,3,3,3,2,3,2,3,2,2,2,1,2,2,2,3,2,3,2,4,3,3,25,20,45,10,,,1,,1,,,,1,1,,,,,paul ryan is a masochist. 
R_agx2xhjlCcMkbRz,Default Response Set,Anonymous,,,0,8/20/2012 18:32,8/20/2012 18:37,1,1218,1,1,3,3,1,4,4,1,2,4,2,4,1,1,1,1,2,2,4,1,1,4,1,4,2,1,33,15,35,17,,,1,,,,,,,,1,1,,,
R_8uZsqBja8f9QRO5,Default Response Set,Anonymous,,,0,8/20/2012 18:54,8/20/2012 18:59,1,1218,1,3,1,3,1,3,3,2,3,3,2,3,2,2,1,1,3,2,3,2,2,3,2,3,2,2,25,25,25,25,,,1,,1,,,,1,6,,,,,
R_0cw8TeIbSJZqQIJ,Default Response Set,Anonymous,,,0,8/20/2012 18:57,8/20/2012 19:02,1,1218,1,3,4,3,3,4,2,4,4,4,2,3,2,3,2,2,3,2,4,4,3,4,3,4,4,3,10,20,35,35,,,1,,1,,1,5,,,,,,,None 
R_3WbFMeGUdjVCHFH,Default Response Set,Anonymous,,,0,8/20/2012 19:02,8/20/2012 19:09,1,1218,1,3,4,3,3,3,2,3,3,3,2,3,2,3,2,3,3,2,3,3,3,4,1,3,3,2,10,15,25,50,,,,,1,,,,1,7,,,,,
R_7UwbngWCLj3QpzT,Default Response Set,Anonymous,,,0,8/20/2012 19:19,8/20/2012 19:23,1,1218,1,4,3,2,3,3,2,4,3,4,2,3,2,3,3,1,3,2,4,4,2,4,3,4,4,1,20,25,25,30,,,1,,1,,1,7,,,,,,,Good study
R_8GhpXx6s1nxHH13,Default Response Set,Anonymous,,,0,8/20/2012 19:32,8/20/2012 19:37,1,1218,1,4,4,3,4,4,3,4,3,4,3,4,3,3,3,3,3,3,4,4,3,4,2,4,4,3,10,10,40,40,,,1,,1,,1,1,,,,,,,
