ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,Status,StartDate,EndDate,Finished,I agree to participate in a research study conducted by the Massachusetts Institute of Technology. I...,"Now, we would like you to evaluate the economy during four-year periods. /  /    /  /  On the following page...",epc_1949,epc_1953,epc_1957,epc_1961,epc_1965,epc_1969,epc_1973,epc_1977,epc_1981,epc_1985,epc_1989,epc_1993,epc_1997,epc_2001,epc_2005,epc_2009,epc_2013,epc_2017,epc_2021,epc_2025,epc_2029,epc_2033,epc_2037,epc_2041,epc_2045,econ_weight_pres-Year 1,econ_weight_pres-Year 2,econ_weight_pres-Year 3,econ_weight_pres-Year 4,"If you were evaluating a U.S. president's handling of the economy, which would you prefer?","In previous studies like this one, most people say they place roughly equal weight on all four years..."
R_cAfvE3d8MTEft4M,Default Response Set,Anonymous,,,0,12/4/2010 18:01,12/4/2010 18:06,1,1,1,3,3,4,2,3,2,3,1,4,2,3,2,2,2,1,3,3,2,2,4,1,3,2,2,3,25,25,25,25,1,I think because things are supposed to improve over time.
R_1zUPiSqzKgsXerq,Default Response Set,Anonymous,,,0,12/4/2010 18:05,12/4/2010 18:09,1,1,1,4,3,4,2,3,3,3,2,4,1,3,3,3,2,2,4,3,3,2,2,4,3,3,3,4,25,25,30,20,1,"I may have overweighted it as well, because I suppose that people tend to pay attention to what JUST happened, rather than things that are more in the past."
R_dm8AbBnkKjlT24c,Default Response Set,Anonymous,,,0,12/4/2010 18:06,12/4/2010 18:09,1,1,1,3,4,4,3,3,4,4,3,4,2,3,4,3,4,2,4,4,4,2,2,4,3,4,4,4,25,25,25,25,1,I don't think i did but it may be because if the year before had growth they may be more hopeful for the following year.
R_eUQgr5xNGl1JFgU,Default Response Set,Anonymous,,,0,12/4/2010 18:04,12/4/2010 18:10,1,1,1,3,3,3,2,3,4,3,2,4,1,3,3,3,2,1,3,2,3,2,2,3,3,4,3,4,25,25,25,25,1,"I guess I might have, because I think of the last year as kind of predicting the path the economy will take in the future. It's not necessarily correct or reasonable, though."
R_7Tzt0ONSp9Su4h6,Default Response Set,Anonymous,,,0,12/4/2010 18:08,12/4/2010 18:14,1,1,1,3,3,4,2,3,3,4,2,4,2,3,3,3,3,2,4,3,3,3,2,4,3,4,4,4,21,23,27,29,1,"Perhaps.  I did tend to look at the trend of the 4 years as part of my analysis.  If there was good growth in the first two years but then growth flattened out, I would hesitate to give it a ""very good"" rating."
R_0IG8Dpg7DeG7ieM,Default Response Set,Anonymous,,,0,12/4/2010 18:02,12/4/2010 18:14,1,1,1,4,3,4,2,3,3,4,2,4,1,3,3,3,2,2,4,3,4,2,1,4,3,4,4,4,20,25,25,30,1,I tried not to overemphasize the last year. It's possible that when processing visual information you might subconsciously give more weight that you thought you did  to the last year since it is the most recent year even though you really didn't intend to. Have there been any data visualization studies conducted looking at that type of effect?
R_5C7i4HwltbIpYPy,Default Response Set,Anonymous,,,0,12/4/2010 18:09,12/4/2010 18:15,1,1,1,4,4,3,3,2,2,4,2,4,1,3,3,2,2,1,4,3,3,3,2,4,3,4,4,4,10,20,30,40,1,If growth in the last year was significant enough or if it outweighed the other three years all together it should be taken strongly in to consideration when judging the entire time period.  
R_7ZGA9A5ULVYMWB6,Default Response Set,Anonymous,,,0,12/4/2010 18:11,12/4/2010 18:16,1,1,1,4,4,4,3,4,4,4,2,4,2,3,3,3,3,2,4,3,3,3,2,4,3,4,4,4,15,15,35,35,1,"The younger generations have a need for immediate satisfaction.   There is now more emphasis on the most recent year.  Consider how Wall Street will shut down profitable companies because, while they are making money, they are not meeting 'expectations'.  It is simply a change in the culture."
R_38h7YqsJ7oGVZvS,Default Response Set,Anonymous,,,0,12/4/2010 18:14,12/4/2010 18:20,1,1,1,3,3,3,2,3,3,3,2,4,2,3,2,3,2,2,3,3,3,2,2,3,2,4,4,4,20,20,30,30,1,I tried to look at all four years and gave the best ratings where there was steady growth  or mostly growth.
R_0NRqWANExLl5Yu8,Default Response Set,Anonymous,,,0,12/4/2010 18:16,12/4/2010 18:25,1,1,1,2,3,2,2,3,2,3,2,2,1,2,2,2,2,2,3,2,3,2,2,2,3,2,4,3,25,25,30,20,1,I don't think that I did.  I feel like I weighted the third year the most.  / I think that maybe people do that because it is the last one that they look at!
R_9uehPEjL73WSmj2,Default Response Set,Anonymous,,,0,12/4/2010 18:15,12/4/2010 18:27,1,1,1,3,2,4,2,2,3,3,1,4,1,3,3,2,2,1,4,2,3,2,3,3,3,4,3,4,33,17,17,33,1,"The last year of the graph appears to show where the country is heading in the future. Also, since it takes time for actions performed by the current administration to be seen statistically within the economy, the last year gives an overall picture of the president's effectiveness during his term."
R_bQ2kTWHtlmNmFQE,Default Response Set,Anonymous,,,0,12/4/2010 18:25,12/4/2010 18:30,1,,1,3,3,4,2,3,3,4,2,4,1,3,4,3,2,1,4,3,4,2,2,3,3,4,4,4,20,25,25,30,1,I guess you tend to focus on how things end up.
R_0MxCJ4EnJWikJJG,Default Response Set,Anonymous,,,0,12/4/2010 18:26,12/4/2010 18:30,1,1,1,4,3,3,3,4,3,3,2,4,2,3,3,3,3,2,3,3,4,3,2,4,3,4,4,4,25,25,25,25,1,"I tried not to over weight my last year, but instead look at all four years and make my decision based on all of them. "
R_bBi53caTPoFrN4g,Default Response Set,Anonymous,,,0,12/4/2010 18:25,12/4/2010 18:30,1,1,1,3,3,3,2,3,3,3,2,4,2,3,3,2,2,1,3,3,3,3,1,3,3,4,3,4,25,25,25,25,1,I really don't think I did.  I tried to look at the 4 year period.
