Response ID,RespondantKey,Date Started,Date Finished,Status,Linked From,Comments,Country,Region,City,,econ_1949,econ_1953,econ_1957,econ_1961,econ_1965,econ_1969,econ_1973,econ_1977,econ_1981,econ_1985,econ_1989,econ_1993,econ_1997,econ_2001,econ_2005,econ_2009,econ_2013,econ_2017,econ_2021,econ_2025,econ_2029,econ_2033,econ_2037,econ_2041,econ_2045,Term 1,Term 2,Term 3,Term 4,pink,red,green,black,blue,,,
76030018,0,3/31/2010 11:11,3/31/2010 11:29,Saved,,,United States,Massachusetts,Cambridge,1022_terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76030491,0,3/31/2010 11:12,3/31/2010 11:21,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,Portugal,Porto,Porto,1022_terms,3,2,3,2,2,3,3,3,3,3,4,3,2,3,4,3,4,4,3,4,3,2,1,1,3,24,24,24,28,,,,,blue,8,,76030491
76031261,0,3/31/2010 11:14,3/31/2010 11:20,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Florida,Gainesville,1022_terms,3,2,3,2,3,3,3,3,3,3,4,3,3,3,4,3,4,1,4,3,3,2,1,1,3,25,27,28,20,,,green,black,,16,,76031261
76031483,0,3/31/2010 11:14,3/31/2010 11:20,Submitted,,,United States,California,San Diego,1022_terms,4,2,3,2,3,3,3,4,4,3,4,4,3,3,4,3,4,3,4,4,3,3,2,2,3,25,25,25,25,,red,,,,8,,76031483
76031894,0,3/31/2010 11:15,3/31/2010 11:27,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Pennsylvania,Williamsport,1022_terms,4,2,3,4,3,4,3,4,2,4,4,3,3,3,4,4,4,3,3,4,3,2,2,1,3,20,20,30,30,,,green,black,,16,Interesting study.,76031894
76032194,0,3/31/2010 11:16,3/31/2010 11:29,Saved,,,United States,Illinois,Rolling Meadows,1022_terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76035250,0,3/31/2010 11:24,3/31/2010 11:40,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,North Carolina,Asheboro,1022_terms,3,2,3,4,2,4,3,4,1,3,3,3,3,3,4,3,3,2,3,1,3,2,1,2,3,25,25,25,25,,,green,black,,16,,76035250
76035543,0,3/31/2010 11:24,3/31/2010 11:34,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Wisconsin,Milwaukee,1022_terms,2,1,3,2,2,3,3,3,3,3,3,3,3,3,4,3,3,2,3,2,3,1,1,2,2,20,30,30,20,,,green,black,,16,,76035543
76036529,0,3/31/2010 11:27,3/31/2010 11:34,Submitted,,,United States,Indiana,Geneva,1022_terms,4,1,2,4,3,3,3,4,1,4,3,4,4,4,4,3,4,3,3,2,3,3,1,2,4,25,25,25,25,,,green,black,,16,,76036529
76037713,0,3/31/2010 11:29,3/31/2010 11:45,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Georgia,Marietta,1022_terms,3,1,2,4,2,4,3,3,2,3,3,4,3,3,4,2,3,2,3,1,3,2,2,2,3,10,30,30,30,,,green,black,,16,,76037713
