Response ID,RespondantKey,Date Started,Date Finished,Status,Linked From,Comments,Country,Region,City,,econ_1949,econ_1953,econ_1957,econ_1961,econ_1965,econ_1969,econ_1973,econ_1977,econ_1981,econ_1985,econ_1989,econ_1993,econ_1997,econ_2001,econ_2005,econ_2009,econ_2013,econ_2017,econ_2021,econ_2025,econ_2029,econ_2033,econ_2037,econ_2041,econ_2045,Year 1,Year 2,Year 3,Year 4,pink,red,green,white,black,blue,,
76030153,0,3/31/2010 11:11,3/31/2010 11:29,Saved,,,United States,Massachusetts,Cambridge,1022_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76031651,0,3/31/2010 11:15,3/31/2010 11:20,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,New York,Huntington,1022_years,3,2,3,3,3,3,2,4,2,4,3,3,3,3,4,4,4,2,4,3,2,1,1,2,2,20,20,30,30,,,green,,black,,none,76031651
76033173,0,3/31/2010 11:18,3/31/2010 11:35,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Virginia,Williamsburg,1022_years,3,1,3,3,3,3,3,4,2,3,3,3,3,3,4,3,3,3,3,3,2,2,1,2,3,20,25,25,30,,,green,,black,,Enjoyable survey.,76033173
76033592,0,3/31/2010 11:20,3/31/2010 11:36,Submitted,,,United States,Indiana,Etna Green,1022_years,4,2,4,3,3,3,3,4,2,4,4,3,3,4,4,4,4,2,4,2,4,3,1,1,4,20,20,20,40,,,green,,black,,"This is interesting. I tended to think of any personal income growth as good, even if it was low.",76033592
76034235,0,3/31/2010 11:21,3/31/2010 11:37,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Ohio,Akron,1022_years,3,2,1,4,3,4,3,4,1,3,3,2,4,3,4,3,3,3,3,1,3,2,1,3,2,0,25,25,50,,,green,,black,,Nice survey.,76034235
76034642,0,3/31/2010 11:22,3/31/2010 11:29,Saved,,,United States,Pennsylvania,Highspire,1022_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76036351,0,3/31/2010 11:26,3/31/2010 11:34,Submitted,,,United States,Arizona,Tucson,1022_years,4,3,3,3,3,3,3,4,2,3,4,4,3,3,4,3,3,2,4,2,3,3,2,3,3,25,25,25,25,,,green,,black,,,76036351
76036422,0,3/31/2010 11:26,3/31/2010 11:33,Saved,,,United States,Tennessee,Clinton,1022_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76036677,0,3/31/2010 11:27,3/31/2010 11:49,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Utah,Alpine,1022_years,3,3,3,3,3,4,3,4,4,4,4,4,4,3,4,4,4,3,4,4,3,2,2,3,3,30,25,25,20,,,,white,,,wasn't clear if %change was from previous year or based on original income level.,76036677
76037492,0,3/31/2010 11:29,3/31/2010 11:42,Saved,,,United States,Arizona,Fort Huachuca,1022_years,,,,,,,3,,,3,2,3,4,,,3,,,2,,,,,2,,,,,,,,,,,,,
76037720,0,3/31/2010 11:29,3/31/2010 11:39,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,California,Tracy,1022_years,3,2,3,2,3,3,2,3,3,3,4,3,3,2,4,3,3,2,4,3,2,2,2,2,2,25,25,25,25,,,green,,black,,,76037720
76038649,0,3/31/2010 11:32,3/31/2010 11:49,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Arkansas,Bentonville,1022_years,3,2,3,3,3,3,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,1,1,3,25,25,25,25,,red,,,,,"None, thanks. Hope this helps!",76038649
76040495,0,3/31/2010 11:36,3/31/2010 11:48,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Illinois,Chicago,1022_years,3,3,3,3,3,3,3,4,1,4,2,3,4,3,4,3,4,1,4,1,4,2,1,1,3,10,25,30,35,,,green,,black,,,76040495
76041335,0,3/31/2010 11:38,3/31/2010 11:48,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,Belgium,Antwerpen,Borgerhout,1022_years,3,2,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,3,3,2,3,4,20,20,20,40,,,green,,black,,none,76041335
