Response ID,RespondantKey,Date Started,Date Finished,Status,Linked From,Comments,Country,Region,City,,econ_1949,econ_1953,econ_1957,econ_1961,econ_1965,econ_1969,econ_1973,econ_1977,econ_1981,econ_1985,econ_1989,econ_1993,econ_1997,econ_2001,econ_2005,econ_2009,econ_2013,econ_2017,econ_2021,econ_2025,econ_2029,econ_2033,econ_2037,econ_2041,econ_2045,Year 1,Year 2,Year 3,Year 4,,pink,green,white,black,blue,,,
80093434,0,4/14/2010 11:42,4/14/2010 12:19,Submitted,,,United States,Colorado,Colorado Springs,1028b,3,2,3,3,3,4,3,3,3,3,2,3,4,3,4,3,3,2,2,2,2,3,3,4,1,30,20,20,30,12,,green,,black,,second term,,80093434
80093742,0,4/14/2010 11:42,4/14/2010 12:19,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Washington,Tacoma,1028b,4,2,4,2,4,4,3,4,3,4,4,4,4,4,4,3,4,3,4,3,2,3,3,4,3,25,25,25,25,12,,green,,black,,second term,,80093742
80097000,0,4/14/2010 11:47,4/14/2010 12:17,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Ohio,Sandusky,1028b,3,2,3,2,4,3,3,3,3,4,3,4,4,3,3,3,3,2,3,3,3,2,3,3,3,25,24,24,27,15,,green,,black,,second term,,80097000
80097817,0,4/14/2010 11:48,4/14/2010 12:00,Submitted,,,United States,Louisiana,New Orleans,1028b,4,3,3,3,3,3,3,4,3,4,3,4,4,4,4,3,4,3,3,3,3,3,3,3,3,20,25,25,30,12,,green,,black,,second term,"I'm surprised you have none with negative cumulative growth; I didn't select any ""bad"" for this reason.",80097817
80098150,0,4/14/2010 11:48,4/14/2010 12:16,Submitted,,,United States,New Hampshire,Nashua,1028b,2,2,2,2,2,2,2,3,3,3,2,3,2,3,3,2,3,2,2,2,2,2,2,3,2,10,20,30,40,12,,green,,black,,second term,"I was interested in trends upward more than weighting each year, and I was comparing to a mental ideal of beating a 2.5 per cent cost of living increase.",80098150
80100823,0,4/14/2010 11:52,4/14/2010 12:19,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Ohio,Holland,1028b,2,1,3,1,2,2,2,4,1,2,1,1,2,3,3,1,2,1,2,2,2,3,1,3,1,30,15,15,40,12,,green,,black,,second term,"It is really confusing seeing the two separate charts like that, since the lower one was cumulative, it kind of threw me off in making the choices, because it made things look better than they actually were.",80100823
80101565,0,4/14/2010 11:53,4/14/2010 12:19,Submitted,,,United States,New York,Staten Island,1028b,3,3,3,3,3,3,4,3,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,4,3,25,25,25,25,12,,green,,black,,second term,,80101565
80103257,0,4/14/2010 11:55,4/14/2010 12:18,Submitted,,,United States,Florida,Lehigh Acres,1028b,4,4,4,2,3,3,3,3,4,4,3,4,3,4,4,3,4,3,4,3,3,3,3,4,3,10,20,30,40,12,,,white,,,second term,,80103257
80104240,0,4/14/2010 11:56,4/14/2010 12:09,Submitted,,,United States,Virginia,Suffolk,1028b,4,3,3,1,4,4,3,4,3,4,4,3,4,4,4,3,3,2,3,3,3,3,3,4,2,10,25,30,35,12,,green,,black,,second term,,80104240
80108905,0,4/14/2010 12:03,4/14/2010 12:14,Submitted,,,United States,Texas,Coldspring,1028b,4,3,4,2,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,3,25,25,25,25,12,,green,,black,,second term,,80108905
80112414,0,4/14/2010 12:09,4/14/2010 13:41,Saved,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Alabama,Wedowee,1028b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80114967,0,4/14/2010 12:13,4/14/2010 12:32,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Florida,Dania,1028b,4,2,3,2,3,3,3,4,2,4,3,3,3,4,4,2,2,2,2,3,2,2,3,3,2,20,25,25,30,12,,green,,black,,second term,,80114967
80125792,0,4/14/2010 12:30,4/14/2010 13:02,Submitted,,,United States,Kentucky,Bowling Green,1028b,3,2,2,1,1,4,2,3,1,2,2,1,3,4,4,1,2,2,3,2,2,2,3,2,1,15,25,25,35,12,,green,,black,,second term,Looking at yearly and comparing against the cumulative is difficult.  If voter is evaluating only one at a time it is earsier to decide.  When comparing voters may not be as accurate.,80125792
80138505,0,4/14/2010 12:50,4/14/2010 13:23,Saved,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Florida,Panama City,1028b,,,,,,,,,,,,,,,,2,3,,,,,,,2,,,,,,,,,,,,,,
80141308,0,4/14/2010 12:54,4/14/2010 13:37,Saved,http://app.sgizmo.com/survey_promote.php?id=277568,,United States,Massachusetts,Cambridge,1028b,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25,25,25,25,15,,,,,blue,second term,,
80151875,0,4/14/2010 13:16,4/14/2010 13:31,Submitted,,,United States,Nevada,Reno,1028b,4,2,3,1,3,4,3,3,3,3,3,3,4,4,4,3,3,3,3,3,2,3,3,3,2,25,25,25,25,12,,green,,black,,second term,,80151875
80151971,0,4/14/2010 13:17,4/14/2010 13:31,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,California,San Francisco,1028b,3,2,2,1,2,3,2,3,2,3,2,3,3,4,3,2,3,2,3,2,1,2,2,3,3,10,10,15,65,12,,green,,black,,second term,,80151971
80159250,0,4/14/2010 13:40,4/14/2010 14:01,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,North Carolina,Fayetteville,1028b,4,3,4,2,3,4,3,4,3,4,3,3,4,4,4,3,4,3,4,3,2,3,3,4,3,10,20,25,45,12,,green,,black,,second term,This was an enjoyable survey. Thank you for putting it on MTurk.,80159250
80167411,0,4/14/2010 14:03,4/14/2010 14:14,Submitted,,,United States,Illinois,Rolling Meadows,1028b,4,2,4,2,3,4,3,3,3,4,4,4,4,4,4,2,4,2,3,4,2,3,3,3,2,20,20,30,30,12,,green,,black,,second term,,80167411
80168914,0,4/14/2010 14:08,4/14/2010 14:22,Saved,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Massachusetts,Cambridge,1028b,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80173813,0,4/14/2010 14:21,4/14/2010 14:30,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,West Virginia,Grafton,1028b,4,1,4,1,3,3,3,3,3,4,3,3,4,4,4,2,4,2,3,3,1,3,3,3,3,25,25,25,25,12,,green,,black,,second term,,80173813
80175408,0,4/14/2010 14:25,4/14/2010 14:41,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Washington,Issaquah,1028b,4,2,4,2,3,3,3,4,3,4,3,4,3,4,4,3,4,3,4,3,2,3,3,4,2,25,25,25,25,13,,green,,black,,second term,,80175408
80178748,0,4/14/2010 14:35,4/14/2010 14:54,Saved,,,United States,Pennsylvania,Perkasie,1028b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80180763,0,4/14/2010 14:41,4/14/2010 14:45,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,New York,Bronx,1028b,3,2,3,3,3,3,3,3,2,3,2,4,4,4,4,3,3,2,2,2,2,3,2,2,3,20,20,20,40,12,,green,,black,,second term,,80180763
80180829,0,4/14/2010 14:41,4/14/2010 15:00,Submitted,,,United States,Texas,Dallas,1028b,3,2,3,2,3,4,3,4,3,3,3,3,3,4,4,3,3,2,3,3,2,3,3,2,2,20,25,25,30,12,,green,,black,,second term,,80180829
80181011,0,4/14/2010 14:41,4/14/2010 15:00,Submitted,,,United States,,,1028b,4,2,4,2,3,4,3,3,3,3,3,3,4,4,4,3,3,2,3,2,2,3,3,3,2,15,20,30,35,12,,green,,black,,second term,,80181011
80185402,0,4/14/2010 14:53,4/14/2010 15:06,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Michigan,Sterling Heights,1028b,4,2,4,1,3,4,2,4,3,4,3,4,4,4,4,3,4,2,3,3,2,3,3,4,2,25,25,25,25,13,,green,,black,,second term,,80185402
80188067,0,4/14/2010 15:01,4/14/2010 17:09,Saved,,,United States,,,1028b,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80196266,0,4/14/2010 15:25,4/14/2010 15:34,Submitted,,,United States,New York,Saratoga Springs,1028b,2,3,2,3,2,2,3,3,2,2,2,3,3,3,3,2,2,2,2,1,2,2,2,3,1,20,20,30,30,12,,green,,black,,second term,,80196266
