Response ID,RespondantKey,Date Started,Date Finished,Status,Linked From,Comments,Country,Region,City,,econ_1949,econ_1953,econ_1957,econ_1961,econ_1965,econ_1969,econ_1973,econ_1977,econ_1981,econ_1985,econ_1989,econ_1993,econ_1997,econ_2001,econ_2005,econ_2009,econ_2013,econ_2017,econ_2021,econ_2025,econ_2029,econ_2033,econ_2037,econ_2041,econ_2045,Year 1,Year 2,Year 3,Year 4,pink,green,black,blue,,,
80093502,0,4/14/2010 11:42,4/14/2010 12:19,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Illinois,Chicago,1028a,3,2,3,2,3,3,3,4,3,2,3,3,3,4,4,3,3,2,3,3,2,2,2,4,2,20,20,20,40,,green,black,,second term,,80093502
80094027,0,4/14/2010 11:42,4/14/2010 12:04,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Colorado,Colorado Springs,1028a,4,2,3,1,4,3,2,4,2,4,2,4,4,4,4,2,3,2,3,3,2,3,3,4,2,10,10,30,50,,green,black,,second term,,80094027
80095742,0,4/14/2010 11:45,4/14/2010 12:18,Submitted,,,United States,Tennessee,Clinton,1028a,4,3,4,3,3,4,3,4,3,4,3,4,4,4,4,2,4,3,4,3,3,2,3,4,2,25,25,25,25,,green,black,,second term,,80095742
80095966,0,4/14/2010 11:45,4/14/2010 12:18,Submitted,,,United States,Pennsylvania,West Chester,1028a,3,1,2,1,2,3,2,3,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,25,25,25,25,,green,black,,second term,,80095966
80096986,0,4/14/2010 11:47,4/14/2010 12:17,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Pennsylvania,Coal Center,1028a,3,1,2,3,1,2,1,4,1,3,3,1,2,4,4,2,2,1,1,1,1,1,1,3,2,30,20,20,30,,green,black,,second term,None today.,80096986
80100293,0,4/14/2010 11:51,4/14/2010 12:20,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,Serbia,,Belgrade,1028a,4,3,3,2,4,4,3,4,4,3,3,3,4,4,4,3,4,3,3,3,3,3,3,4,4,25,25,25,25,,green,black,,second term,,80100293
80102177,0,4/14/2010 11:53,4/14/2010 12:19,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Pennsylvania,Bernville,1028a,3,2,3,2,3,3,2,3,3,3,3,3,4,4,3,3,3,2,3,3,3,3,3,3,2,1,1,1,1,,green,black,,second term,,80102177
80102255,0,4/14/2010 11:54,4/14/2010 12:47,Saved,,,United States,Pennsylvania,Highspire,1028a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80102843,0,4/14/2010 11:54,4/14/2010 12:19,Submitted,,,United Arab Emirates,Abu Zaby,Abu Dhabi,1028a,4,2,3,1,3,3,2,4,2,3,2,3,3,4,4,3,3,2,3,3,2,2,3,3,2,35,27,23,15,,green,black,,second term,"Interesting survey, curious if the figures were actuals or hypotheticals.",80102843
80104587,0,4/14/2010 11:57,4/14/2010 12:18,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Ohio,North Olmsted,1028a,2,2,2,3,2,3,2,4,2,3,1,2,4,4,4,3,2,2,1,2,2,2,3,4,2,40,10,10,40,,green,black,,second term,I enjoyed the survey,80104587
80105130,0,4/14/2010 11:58,4/14/2010 12:08,Submitted,,,United States,Pennsylvania,Philadelphia,1028a,3,2,3,2,3,3,3,4,2,4,2,3,3,4,4,2,3,2,3,3,2,3,3,4,3,15,20,25,40,,green,black,,second term,,80105130
80105563,0,4/14/2010 11:58,4/14/2010 12:17,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Texas,Sugar Land,1028a,3,3,3,2,3,3,3,4,3,3,3,3,4,4,4,3,3,2,3,3,2,3,3,4,2,20,20,25,35,,green,black,,second term,these are interesting surveys,80105563
80108322,0,4/14/2010 12:02,4/14/2010 12:34,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,California,San Francisco,1028a,3,2,3,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3,3,3,2,3,3,3,2,15,15,35,35,,green,black,,second term,,80108322
