ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,Status,StartDate,EndDate,Finished,study_number,I agree to participate in a research study conducted by the Massachusetts Institute of Technology. I...,I understand that this survey will test my reading comprehension (really whether I'm reading at all)...,attention_1-1,attention_1-2,attention_1-3,y,epc_1949,epc_1953,epc_1957,epc_1961,epc_1965,epc_1969,epc_1973,epc_1977,epc_1981,epc_1985,epc_1989,epc_1993,epc_1997,epc_2001,epc_2005,epc_2009,epc_2013,epc_2017,epc_2021,epc_2025,epc_2029,epc_2033,epc_2037,epc_2041,epc_2045,ly,ly_1949,ly_1953,ly_1957,ly_1961,ly_1965,ly_1969,ly_1973,ly_1977,ly_1981,ly_1985,ly_1989,ly_1993,ly_1997,ly_2001,ly_2005,ly_2009,ly_2013,ly_2017,ly_2021,ly_2025,ly_2029,ly_2033,ly_2037,ly_2041,ly_2045,yl,yl_1949,yl_1953,yl_1957,yl_1961,yl_1965,yl_1969,yl_1973,yl_1977,yl_1981,yl_1985,yl_1989,yl_1993,yl_1997,yl_2001,yl_2005,yl_2009,yl_2013,yl_2017,yl_2021,yl_2025,yl_2029,yl_2033,yl_2037,yl_2041,yl_2045,econ_weight_pres-Year 1,econ_weight_pres-Year 2,econ_weight_pres-Year 3,econ_weight_pres-Year 4,econ_weight_future-Year 1,econ_weight_future-Year 2,econ_weight_future-Year 3,econ_weight_future-Year 4,attention_2-pink,attention_2-red,attention_2-green,attention_2-white,attention_2-yellow,attention_2-blue,Thanks again! Any comments? (optional),how_responsible-Year 1,how_responsible-Year 2,how_responsible-Year 3,how_responsible-Year 4,v_1949,v_1953,v_1957,v_1961,v_1965,v_1969,v_1973,v_1977,v_1981,v_1985,v_1989,v_1993,v_1997,v_2001,v_2005,v_2009,v_2013,v_2017,v_2021,v_2025,v_2029,v_2033,v_2037,v_2041,v_2045
R_8qvqTwLCSabAYFC,Default Response Set,Anonymous,,,0,6/3/2011 10:06,6/3/2011 10:09,1,1101,1,1,1,1,,1,3,3,3,3,2,4,4,4,1,3,4,4,4,3,4,4,4,3,3,3,3,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,25,,,,,,,1,,1,,,2,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,
R_3sXUgQwfeQsMKXi,Default Response Set,Anonymous,,,0,6/3/2011 10:07,6/3/2011 10:11,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,3,4,3,3,3,4,1,4,3,4,4,3,4,3,4,3,4,1,2,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,30,50,,,,,,,1,,1,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_3V0LvIzYfF8AO4k,Default Response Set,Anonymous,,,0,6/3/2011 10:09,6/3/2011 10:13,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,3,3,3,3,3,1,3,3,2,3,3,4,2,3,3,3,3,2,2,2,2,2,22,28,18,32,,,,,,,1,,1,,,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
R_3fppql2Qu07f8Ow,Default Response Set,Anonymous,,,0,6/3/2011 10:10,6/3/2011 10:17,1,1101,1,1,1,1,,1,4,1,1,2,2,4,4,4,1,2,3,3,4,3,4,4,4,4,3,2,3,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,30,25,,,,,,,1,,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_5urGIgOyUovc8Sg,Default Response Set,Anonymous,,,0,6/3/2011 10:11,6/3/2011 10:19,1,1101,1,1,1,1,,1,2,1,2,4,1,4,3,4,1,3,1,2,3,2,4,3,2,3,2,1,3,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,10,10,50,,,,,,,1,,1,,none,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
R_71xDlADibkT7Ueo,Default Response Set,Anonymous,,,0,6/3/2011 10:13,6/3/2011 10:20,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,3,3,3,4,3,3,3,3,3,3,4,4,4,4,4,2,4,3,3,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,10,25,25,40,,,,,,,1,,1,,no,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,
R_3OV4RL4LS6xwsFC,Default Response Set,Anonymous,,,0,6/3/2011 10:15,6/3/2011 10:20,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,3,2,3,3,3,3,2,3,4,3,3,3,4,3,3,3,4,3,3,2,2,2,3,25,25,25,25,,,,,,,1,,1,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
R_3z33bdSltQnwrIg,Default Response Set,Anonymous,,,0,6/3/2011 10:14,6/3/2011 10:20,1,1101,1,1,1,1,,1,3,1,3,3,2,4,2,4,2,3,3,3,4,4,4,4,4,3,3,2,3,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,10,20,50,,,,,,,1,,1,,,2,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
R_8AEyL6dGl5Ou1co,Default Response Set,Anonymous,,,0,6/3/2011 10:16,6/3/2011 10:20,1,1101,1,1,1,1,,1,3,2,2,3,3,3,3,3,3,3,3,3,3,2,4,3,3,2,4,3,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,25,,,,,,,1,,1,,"None, thanks",2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_5bEwSoPIkBKbFGs,Default Response Set,Anonymous,,,0,6/3/2011 10:17,6/3/2011 10:22,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,70,,,,,,,1,,1,,,2,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,
R_5uT0wXvCARyhP0g,Default Response Set,Anonymous,,,0,6/3/2011 10:18,6/3/2011 10:23,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,2,3,3,25,25,25,25,,,,,,,1,,1,,,2,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
R_0CGeWqvBPauOGVe,Default Response Set,Anonymous,,,0,6/3/2011 10:15,6/3/2011 10:23,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,1,4,2,4,4,3,1,2,3,3,4,3,4,4,3,3,3,2,3,4,1,3,2,15,25,30,30,,,,,,,1,,1,,no,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,
R_5hWZJD2DMVB1zYo,Default Response Set,Anonymous,,,0,6/3/2011 10:19,6/3/2011 10:25,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,4,2,3,2,2,4,3,4,2,4,4,3,4,4,3,2,4,4,3,2,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,40,,,,,,,,,,1,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
R_9MN3v72KN4ynVfC,Default Response Set,Anonymous,,,0,6/3/2011 10:20,6/3/2011 10:26,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,3,2,2,2,2,2,1,2,3,3,3,4,2,2,2,3,2,3,2,2,3,3,25,25,30,20,,,,,,,1,,1,,No,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_3CWo3WU1xnXd66w,Default Response Set,Anonymous,,,0,6/3/2011 10:21,6/3/2011 10:26,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,3,3,2,3,2,3,2,3,3,3,3,3,4,3,3,2,3,3,3,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15,15,50,,,,,,,1,,1,,none thanks,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_8HyPUx9oygW4VVy,Default Response Set,Anonymous,,,0,6/3/2011 10:10,6/3/2011 10:26,1,1101,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,4,3,4,3,4,2,3,3,3,4,3,4,3,2,2,4,3,4,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,25,,,,,,,1,,1,,,1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
